raw,conformed,comment
FCRQ_DN_ALL (MW),,
'FCRQ_UP_ALL (MW),,
'aFRRQ_DN_ALL (MW),,
'aFRRQ_UP_ALL (MW),,
'mFRRQ_DN_ALL (MW),,
'mFRRQ_UP_ALL (MW),,
'Total mFRR UP (MWh),,
'Total DA mFRR UP (MWh),,
'Total mFRR DN (MWh),,
Total DA mFRR DN (MWh),,
Total aFRR UP (MWh),,
Total aFRR DN (MWh),,
