raw,conformed
ΗΡΩΝ,HERON_invalid
ΕΝΘΕΣ,ELPEDISON_THESS
ΚΟΜΟΤΗΝΗ (GT1),KOMOTINI_GT1
ΚΟΜΟΤΗΝΗ (GT2),KOMOTINI_GT2
ΚΟΜΟΤΗΝΗ (ST),KOMOTINI_ST
ΚΡΕΜΑΣΤΑ,KREMASTA
ΣΤΡΑΤΟΣ 1,STRATOS1
ΣΤΡΑΤΟΣ 2,STRATOS2
ΙΛΑΡΙΩΝ,ILARIONAS
ΚΑΣΤΡΑΚΙ,KASTRAKI
ΠΟΛΥΦΥΤΟ,POLYFYTO
ΣΦΗΚΙΑ,SFIKIA
ΑΣΩΜΑΤΑ,ASOMATA
ΜΑΚΡΟΧΩΡΙ,MAKROCHORI
ΑΩΟΣ,P_AOOU
ΠΟΥΡΝΑΡΙ,POURNARI1
ΠΟΥΡΝΑΡΙ 2,POURNARI2
ΘΗΣΑΥΡΟΣ,THESAVROS1
ΠΛΑΤΑΝΟΒΡΥΣΗ,PLATANOVRYSI
ΛΑΔΩΝΑΣ,LADONAS
ΠΛΑΣΤΗΡΑΣ,PLASTIRAS
ΕΔΕΣΣΑΙΟΣ,EDESSAIOS
ΑΓΡΑΣ,AGRAS
ΛΟΥΡΟΣ,LOUROS
ΓΚΙΩΝΑ,GKIONA
ELPEDISON_THISVI (ST),ELPEDISON_THISVI_ST
MOTOR OIL,MOTOR_OIL
ΘΗΣ ΘΙΣΒΗ (GT1),ELPEDISON_THISVI_GT1
ΘΗΣ ΘΙΣΒΗ (ST),ELPEDISON_THISVI_ST
ΑΙΟΛΙΚΑ ΠΑΡΚΑ Ν. ΕΥΒΟΙΑΣ,ΑΙΟΛΙΚΑ ΕΥΒΟΙΑΣ
ΑΥΛΑΚΙ,ΑΥΛΑΚΙ (ΜΥΗΣ)
ΚΙΘΑΙΡΩΝ,ΚΙΘΑΙΡΩΝΑΣ
ΚΥΤ ΛΑΡΥΜΝΑΣ,ΚΥΤ ΛΑΡΥΜΝΑΣ ΚΕΔΡΟΣ
ΣΚΑΛΑ Φ/Β,ΣΚΑΛΑ (PV)
